序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市净率PB(LF) 2026.05.08,市场码,市场名,市盈率(TTM) 2026.05.08,市盈率估值状态 2026.05.08,指数小类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额 2026.05.08,总市值(元) 2026.05.08
1,950162,科创芯片设计,2621.34,-2.15,14.89,2,SH,181.72,估值较低,中证指数,-57.60,2636.44,2593.86,0.00,0.88,6.78亿,1088.74亿,3.23万亿
2,000690,科创成长,2412.12,-1.40,14.24,1,SH,141.64,估值较低,上证指数,-34.24,2426.66,2383.50,0.00,1.07,4.80亿,637.14亿,2.12万亿
3,000131,上证高新,4166.16,-0.98,13.40,1,SH,215.17,估值较低,上证指数,-41.24,4205.09,4125.18,0.00,1.07,6.69亿,855.93亿,3.11万亿
4,932456,科创创业AI,3808.45,-0.96,12.87,2,CSI,107.65,估值较低,中证指数,-36.97,3835.22,3777.00,0.00,1.09,17.71亿,1476.30亿,4.22万亿
5,399621,深证电信,17756.01,0.99,12.71,0,SZ,72.05,估值中等,深证指数,173.29,17811.29,17261.07,0.00,1.07,7.76亿,991.97亿,2.79万亿
6,399688,深成电信,9357.13,0.42,12.49,0,SZ,69.71,估值中等,深证指数,39.39,9434.93,9152.90,0.00,1.08,7.13亿,928.00亿,2.68万亿
7,950180,科创AI,2722.77,-1.29,12.41,2,SH,147.48,估值较低,中证指数,-35.58,2745.46,2696.89,0.00,1.03,4.47亿,701.28亿,1.96万亿
8,970070,创业板人工智能,7921.82,-0.25,11.83,0,SZ,87.05,估值较低,深证指数,-19.94,7990.75,7825.98,0.00,1.18,29.51亿,1530.02亿,3.59万亿
9,950357,科创专精特新,2521.74,-1.23,11.01,2,SH,114.30,估值较低,中证指数,-31.45,2537.21,2493.82,0.00,0.99,5.40亿,784.05亿,2.73万亿
10,931144,通信技术,3827.44,1.17,10.81,2,CSI,78.41,估值中等,中证指数,44.35,3834.38,3711.61,0.00,1.09,24.76亿,2510.87亿,5.66万亿
11,931865,中证半导,6507.92,-3.14,10.79,2,CSI,159.21,估值较低,中证指数,-210.77,6650.05,6450.76,0.00,0.98,9.31亿,1029.31亿,4.36万亿
12,931271,通信设备主题,4911.31,1.73,10.32,2,CSI,86.34,估值中等,中证指数,83.46,4925.24,4741.61,0.00,1.20,23.09亿,1751.11亿,4.30万亿
13,932357,专精特新100,2369.87,-0.85,10.03,2,CSI,89.61,估值较低,中证指数,-20.32,2382.91,2346.02,0.00,1.07,14.06亿,1549.87亿,4.55万亿
14,000685,科创芯片,3623.07,-2.82,10.02,1,SH,177.05,估值较低,上证指数,-105.18,3658.44,3585.77,0.00,0.93,9.42亿,1469.51亿,5.64万亿
15,931071,人工智能,2818.27,-1.26,10.01,2,CSI,65.49,估值较低,中证指数,-35.88,2840.46,2798.71,0.00,1.04,18.62亿,1623.57亿,4.89万亿
16,931842,半导体15USD,5576.20,-3.20,9.91,2,CSI,135.37,估值较低,中证指数,-184.13,5649.83,5512.90,0.00,1.05,6.74亿,159.77亿,4.20万亿
17,931793,半导体15,6118.19,-3.21,9.91,2,CSI,135.37,估值较低,中证指数,-203.21,6200.13,6051.54,0.00,1.05,6.74亿,1086.74亿,4.20万亿
18,399694,创业高贝,5407.34,0.32,9.63,0,SZ,74.34,估值中等,深证指数,17.24,5445.09,5330.47,0.00,1.17,45.68亿,2542.58亿,5.94万亿
19,000682,科创信息,2579.64,-2.61,9.63,1,SH,144.37,估值较低,上证指数,-69.06,2605.43,2555.94,0.00,0.98,11.14亿,1485.40亿,6.04万亿
20,931165,新兴科技100,9755.63,-0.12,9.54,2,CSI,50.71,估值较低,中证指数,-11.52,9791.43,9643.80,0.00,0.94,19.18亿,2257.97亿,8.24万亿
21,931469,云计算50,4455.86,0.02,9.53,2,CSI,70.05,估值中等,中证指数,0.90,4489.02,4390.44,0.00,1.14,27.33亿,1262.70亿,3.15万亿
22,932066,半导体行业精选,5127.24,-2.73,9.42,2,CSI,105.59,估值较低,中证指数,-143.89,5177.03,5070.15,0.00,0.96,12.18亿,1571.05亿,5.64万亿
23,399263,创业数字,4316.65,-0.64,9.25,0,SZ,67.02,估值较低,深证指数,-27.89,4346.40,4275.51,0.00,1.12,31.48亿,1687.94亿,4.88万亿
24,950222,沪专精特新,2268.84,-0.60,9.09,2,SH,113.75,估值较低,中证指数,-13.63,2279.08,2238.57,0.00,1.05,14.33亿,1301.27亿,3.80万亿
25,H30318,科技传媒通信150,4076.49,-0.85,8.95,2,CSI,67.73,估值较低,中证指数,-35.05,4095.06,4031.40,0.00,1.06,71.82亿,5304.77亿,16.38万亿
26,950161,科创新药,1259.59,-2.25,8.93,2,SH,142.24,估值较低,中证指数,-29.05,1292.01,1255.36,0.00,0.98,2.11亿,102.59亿,1.05万亿
27,931160,通信设备,21514.51,1.13,8.77,2,CSI,64.76,估值中等,中证指数,239.39,21616.21,20904.60,0.00,1.05,23.45亿,1872.87亿,5.53万亿
28,931743,半导体材料设备,6912.08,-2.10,8.70,2,CSI,113.72,估值较低,中证指数,-148.40,7055.31,6849.94,0.00,0.99,8.09亿,580.32亿,1.94万亿
29,H30007,芯片产业,4051.86,-2.73,8.57,2,CSI,143.36,估值较低,中证指数,-113.83,4091.63,4009.43,0.00,0.97,18.15亿,1904.42亿,6.47万亿
30,930851,云计算,7386.60,0.37,8.51,2,CSI,84.01,估值中等,中证指数,27.19,7477.34,7279.50,0.00,1.34,36.45亿,1465.93亿,3.44万亿
31,932087,集成电路,1473.68,-2.60,8.49,2,CSI,130.72,估值较低,中证指数,-39.41,1482.97,1457.19,0.00,0.95,19.78亿,2028.87亿,6.14万亿
32,H30184,半导体,11981.96,-2.53,8.44,2,CSI,120.16,估值较低,中证指数,-310.91,12086.26,11851.50,0.00,0.97,24.86亿,2415.33亿,7.74万亿
33,931696,科技50策略,25769.42,-0.48,8.36,2,CSI,53.50,估值较低,中证指数,-124.42,25806.22,25375.46,0.00,1.01,36.64亿,3317.04亿,12.48万亿
34,990001,中华半导体芯片人民币,15371.72,-2.73,8.32,2,CSI,155.72,估值较低,中证指数,-432.15,15522.07,15210.08,0.00,0.97,19.12亿,1843.62亿,6.41万亿
35,H50008,180信息,6251.75,-2.65,8.25,2,SH,69.14,估值较低,中证指数,-170.18,6309.86,6195.16,0.00,0.97,12.14亿,1363.60亿,6.09万亿
36,399267,专精特新,2936.80,0.63,8.24,0,SZ,91.31,估值中等,深证指数,18.29,2948.95,2871.88,0.00,1.05,19.05亿,1069.77亿,2.33万亿
37,930713,CS人工智,6509.38,-0.64,8.21,2,CSI,62.42,估值较低,中证指数,-41.64,6537.81,6424.01,0.00,1.11,23.15亿,1896.78亿,5.66万亿
38,399811,CSSW电子,7244.57,-1.56,7.94,0,SZ,66.52,估值较低,深证指数,-114.85,7295.62,7172.63,0.00,1.02,33.85亿,2554.89亿,9.77万亿
39,000077,信息等权,7295.67,-1.01,7.86,1,SH,86.38,估值较低,上证指数,-74.63,7312.13,7211.51,0.00,1.01,21.89亿,1874.14亿,7.68万亿
40,000039,上证信息,6679.51,-2.18,7.86,1,SH,86.38,估值较低,上证指数,-148.69,6724.01,6616.85,0.00,1.01,21.89亿,1874.14亿,7.68万亿
41,931877,科创创业50净收益,2555.68,-1.43,7.81,2,CSI,60.33,估值较低,中证指数,-37.07,2580.85,2540.62,0.00,1.05,19.20亿,2422.80亿,11.12万亿
42,931643,科创创业50,2456.39,-1.44,7.81,2,CSI,60.33,估值较低,中证指数,-35.80,2480.59,2441.92,0.00,1.05,19.20亿,2422.80亿,11.12万亿
43,931079,5G通信,2691.68,0.41,7.71,2,CSI,54.64,估值中等,中证指数,11.07,2701.26,2630.49,0.00,1.03,34.02亿,2560.89亿,7.63万亿
44,399268,深小巨人,2804.39,0.23,7.71,0,SZ,71.53,估值中等,深证指数,6.32,2818.08,2752.46,0.00,1.05,18.95亿,1191.90亿,2.68万亿
45,930715,CS朝阳88,20100.27,-0.95,7.51,2,CSI,46.73,估值较低,中证指数,-193.44,20214.85,19961.30,0.00,0.97,35.46亿,2070.47亿,5.67万亿
46,399326,成长40,8145.81,-0.75,7.51,0,SZ,33.93,估值较低,深证指数,-61.57,8251.46,8102.23,0.00,0.90,13.59亿,1563.87亿,6.49万亿
47,931593,科技领先,4550.73,-1.11,7.48,2,CSI,41.20,估值较低,中证指数,-50.89,4589.26,4510.71,0.00,0.95,24.10亿,2339.72亿,10.21万亿
48,931582,数字经济,1734.35,-1.92,7.39,2,CSI,71.62,估值较低,中证指数,-33.88,1751.13,1722.45,0.00,1.04,23.31亿,2016.75亿,7.62万亿
49,000691,科创ESG,1587.13,-1.02,7.36,1,SH,76.72,估值较低,上证指数,-16.34,1604.21,1573.23,0.00,0.90,7.78亿,923.45亿,3.54万亿
50,399667,创业成长,6870.03,-0.77,7.35,0,SZ,41.25,估值较低,深证指数,-52.97,6938.06,6831.28,0.00,1.05,30.15亿,2450.37亿,8.24万亿
51,000688,科创50,1640.46,-2.29,7.29,1,SH,156.21,估值较低,上证指数,-38.43,1655.57,1625.61,0.00,1.06,15.01亿,1343.85亿,5.77万亿
52,950125,科创半导体材料设备,2875.49,-1.89,7.28,2,SH,166.93,估值较低,中证指数,-55.27,2931.77,2849.05,0.00,0.94,5.52亿,418.34亿,2.14万亿
53,399673,创业板50,4051.89,-0.84,7.23,0,SZ,45.26,估值较低,深证指数,-34.40,4097.53,4040.60,0.00,1.04,30.57亿,2256.75亿,8.28万亿
54,950228,智选科创价值50,1915.09,-1.30,7.22,2,SH,80.77,估值较低,中证指数,-25.31,1926.42,1902.70,0.00,0.84,6.62亿,1028.08亿,5.21万亿
55,399262,数字经济,3641.99,-0.23,7.15,0,SZ,52.30,估值较低,深证指数,-8.30,3654.06,3595.48,0.00,1.09,35.18亿,2335.24亿,7.02万亿
56,399261,创业制造,7631.10,-0.60,7.14,0,SZ,44.84,估值较低,深证指数,-46.40,7707.40,7576.81,0.00,0.98,17.56亿,1924.34亿,7.57万亿
57,931247,中证信创,1660.32,-0.26,7.08,2,CSI,108.97,估值较低,中证指数,-4.27,1683.92,1654.81,0.00,1.22,15.43亿,837.57亿,2.33万亿
58,000697,科大湾区,1641.88,-1.09,7.01,1,SH,73.72,估值较低,上证指数,-18.02,1658.76,1630.67,0.00,0.90,4.68亿,352.18亿,1.19万亿
59,H30535,互联网,6238.60,0.63,6.99,2,CSI,54.76,估值中等,中证指数,39.18,6267.05,6118.86,0.00,1.22,43.81亿,2219.75亿,5.76万亿
60,399666,中创高贝,2581.20,0.29,6.96,0,SZ,66.86,估值中等,深证指数,7.34,2590.28,2547.30,0.00,1.13,111.90亿,5343.23亿,12.27万亿
61,931087,科技龙头,6444.41,-1.16,6.89,2,CSI,52.26,估值较低,中证指数,-75.68,6492.42,6397.82,0.00,1.04,32.98亿,2520.16亿,9.86万亿
62,801080,电子(申万),8597.90,-0.69,6.87,62,SWI,74.07,估值较低,申万一级行业,-60.00,8609.34,8489.58,0.00,1.07,154.73亿,6657.98亿,19.33万亿
